CAD Net,RefDes,Pin Number,X (in),Y (in),Padstack,Width (in),Height (in),Start Layer,End Layer,
Unconnected_Net,U5,15,31.092874,15.476771,Pad_15,0.023622,0.007874,"Top Layer","Top Layer"
Unconnected_Net,U5,16,31.092874,15.496456,Pad_15,0.023622,0.007874,"Top Layer","Top Layer"
Unconnected_Net,U5,17,31.092874,15.516141,Pad_15,0.023622,0.007874,"Top Layer","Top Layer"
Unconnected_Net,U5,18,31.092874,15.535826,Pad_15,0.023622,0.007874,"Top Layer","Top Layer"
Unconnected_Net,U5,19,31.065315,15.563385,Pad_15,0.007874,0.023622,"Top Layer","Top Layer"
NetR5_2,U5,20,31.04563,15.563385,Pad_15,0.007874,0.023622,"Top Layer","Top Layer"
Unconnected_Net,U5,22,31.00626,15.563385,Pad_15,0.007874,0.023622,"Top Layer","Top Layer"
Unconnected_Net,U5,23,30.986575,15.563385,Pad_15,0.007874,0.023622,"Top Layer","Top Layer"
Unconnected_Net,U5,24,30.96689,15.563385,Pad_15,0.007874,0.023622,"Top Layer","Top Layer"
NetD2_3,U5,3,30.939331,15.496456,Pad_15,0.023622,0.007874,"Top Layer","Top Layer"
NetR3_2,U5,21,31.025945,15.563385,Pad_15,0.007874,0.023622,"Top Layer","Top Layer"
Unconnected_Net,U6,1,30.539944,16.580967,Pad_16,0.012,0.047,"Top Layer","Top Layer"
Unconnected_Net,U6,2,30.553863,16.567047,Pad_16,0.012,0.047,"Top Layer","Top Layer"
Unconnected_Net,U6,3,30.567783,16.553128,Pad_16,0.012,0.047,"Top Layer","Top Layer"
Unconnected_Net,U6,4,30.581702,16.539209,Pad_16,0.012,0.047,"Top Layer","Top Layer"
Unconnected_Net,U6,5,30.595622,16.525289,Pad_16,0.012,0.047,"Top Layer","Top Layer"
VDD,U6,6,30.609541,16.51137,Pad_16,0.012,0.047,"Top Layer","Top Layer"
Unconnected_Net,U6,7,30.62346,16.49745,Pad_16,0.012,0.047,"Top Layer","Top Layer"
Unconnected_Net,U6,8,30.63738,16.483531,Pad_16,0.012,0.047,"Top Layer","Top Layer"
Unconnected_Net,U6,9,30.651299,16.469611,Pad_16,0.012,0.047,"Top Layer","Top Layer"
Unconnected_Net,U6,10,30.665219,16.455692,Pad_16,0.012,0.047,"Top Layer","Top Layer"
Unconnected_Net,U6,11,30.679138,16.441773,Pad_16,0.012,0.047,"Top Layer","Top Layer"
Unconnected_Net,U6,12,30.693057,16.427853,Pad_16,0.012,0.047,"Top Layer","Top Layer"
Unconnected_Net,U6,13,30.706977,16.413934,Pad_16,0.012,0.047,"Top Layer","Top Layer"
NRST,U6,14,30.720896,16.400014,Pad_16,0.012,0.047,"Top Layer","Top Layer"
Unconnected_Net,U6,15,30.734816,16.386095,Pad_16,0.012,0.047,"Top Layer","Top Layer"
Unconnected_Net,U6,16,30.748735,16.372175,Pad_16,0.012,0.047,"Top Layer","Top Layer"
Unconnected_Net,U6,17,30.762655,16.358256,Pad_16,0.012,0.047,"Top Layer","Top Layer"
Unconnected_Net,U6,18,30.776574,16.344337,Pad_16,0.012,0.047,"Top Layer","Top Layer"
Unconnected_Net,U6,19,30.790493,16.330417,Pad_16,0.012,0.047,"Top Layer","Top Layer"
GND,U6,20,30.804413,16.316498,Pad_16,0.012,0.047,"Top Layer","Top Layer"
VDD,U6,21,30.818332,16.302578,Pad_16,0.012,0.047,"Top Layer","Top Layer"
VDD,U6,22,30.832252,16.288659,Pad_16,0.012,0.047,"Top Layer","Top Layer"
DRIVE1,U6,23,30.846171,16.274739,Pad_16,0.012,0.047,"Top Layer","Top Layer"
DRIVE2,U6,24,30.860091,16.26082,Pad_16,0.012,0.047,"Top Layer","Top Layer"
DRIVE3,U6,25,30.87401,16.246901,Pad_16,0.012,0.047,"Top Layer","Top Layer"
DRIVE4,U6,26,30.971446,16.246901,Pad_16,0.012,0.047,"Top Layer","Top Layer"
Unconnected_Net,U6,27,30.985365,16.26082,Pad_16,0.012,0.047,"Top Layer","Top Layer"
VDD,U6,28,30.999285,16.274739,Pad_16,0.012,0.047,"Top Layer","Top Layer"
DRIVE5,U6,29,31.013204,16.288659,Pad_16,0.012,0.047,"Top Layer","Top Layer"
NetU6_30,U6,30,31.027124,16.302578,Pad_16,0.012,0.047,"Top Layer","Top Layer"
SELECT,U6,31,31.041043,16.316498,Pad_16,0.012,0.047,"Top Layer","Top Layer"
Unconnected_Net,U6,32,31.054963,16.330417,Pad_16,0.012,0.047,"Top Layer","Top Layer"
