CAD Net,Voltage
Unconnected_Net, ?
CON-IO4,NA
CON-IO3,NA
CON-IO2,NA
CON-IO1,NA
GPIO4,NA
GPIO3,NA
GPIO2,NA
GPIO1,NA
SENSOR-5V-FB,NA
NetJ11_5,NA
NetJ11_1,NA
VREFSD+,NA
SENSOR4,NA
VDD,NA
VDD_3V3,NA
VCC-5V,?
VBUS,NA
SENSOR-5V,NA
SENSOR9,NA
SENSOR9-IN,NA
SENSOR8,NA
SENSOR8-IN,NA
SENSOR7,NA
SENSOR7-IN,NA
SENSOR6,NA
SENSOR6-IN,NA
SENSOR5,NA
SENSOR5-IN,NA
3V3,NA
SENSOR4-IN,NA
SENSOR3,NA
SENSOR3-IN,NA
SENSOR2,NA
SENSOR2-IN,NA
SENSOR1,NA
SENSOR1-IN,NA
SENSOR0,NA
SENSOR0-IN,NA
SELECT,NA
SDADC37,NA
SDADC36,NA
SDADC35,NA
SDADC34,NA
SDADC33,NA
SDADC32,NA
SDADC31,NA
SDADC19,NA
SDADC18,NA
SDADC17,NA
SDADC16,NA
SDADC15,NA
SDADC14,NA
SDADC13,NA
SDADC12,NA
SDADC11,NA
RELAYCON10,NA
RELAYCON9,NA
RELAYCON8,NA
RELAYCON7,NA
RELAYCON6,NA
RELAYCON5,NA
RELAYCON4,NA
RELAYCON3,NA
RELAYCON2,NA
RELAYCON1,NA
Relay1,NA
Relay2,NA
Relay3,NA
Relay5,NA
Relay4,NA
PRESSURE-OUT,NA
PRESSURE-IN,NA
NRST,NA
NetU6_30,NA
NetTX1_1,NA
NetRX1_1,NA
NetR41_2,NA
NetR40_2,NA
NetR39_2,NA
NetR38_2,NA
NetR33_2,NA
NetR32_2,NA
NetR31_2,NA
NetR30_2,NA
NetR25_2,NA
NetR24_2,NA
NetR23_2,NA
NetR22_2,NA
NetR17_2,NA
NetR16_2,NA
NetR15_2,NA
NetR14_2,NA
NetR11_2,NA
NetR6_1,NA
NetR5_1,NA
NetR4_2,NA
NetR3_2,NA
NetQ1_1,NA
NetD1_2,NA
NetC36_1,NA
NetC35_1,NA
DRIVE5,NA
DRIVE4,NA
DRIVE3,NA
DRIVE2,NA
DRIVE1,NA
NetD2_3,NA
NetD2_2,NA
AUX4-OUT,NA
AUX4-IN,NA
AUX3-OUT,NA
AUX3-IN,NA
AUX2-OUT,NA
AUX2-IN,NA
AUX1-OUT,NA
AUX1-IN,NA
24V,NA
12V,NA
5VFB,NA
2V5,NA
NetR5_2,NA
NetR3_1,NA
GND,?
5V,NA
