RefDes,Part Number,Part Name,Value,Facement
C52,"CAPC1608N,,Capacitor",,
C51,"CAPC1608N,,Capacitor",,
C50,"CAPC1608N,,Capacitor",,
C49,"CAPC1608N,,Capacitor",,
C48,"CAPC1608N,,Capacitor",,
C47,"CAPC1608N,,Capacitor",,
C46,"CAPC1608N,,Capacitor",,
C45,"CAPC1608N,,Capacitor",,
C44,"CAPC1608N,,Capacitor",,
C43,"CAPC1608N,,Capacitor",,
C42,"CAPC1608N,,Capacitor",,
C41,"CAPC1608N,,Capacitor",,
C40,"CAPC1608N,,Capacitor",,
C39,"CAPC1608N,,Capacitor",,
C38,"CAPC1608N,,Capacitor",,
C36,"CAPC2012N,,Capacitor",,
C35,"CAPC1608N,,Capacitor",,
C34,"CAPC1608N,,Capacitor",,
C33,"CAPC1608N,,Capacitor",,
C32,"CAPC1608N,,Capacitor",,
C31,"CAPC1608N,,Capacitor",,
C30,"CAPC1608N,,Capacitor",,
C29,"CAPC1608N,,Capacitor",,
C28,"CAPC1608N,,Capacitor",,
C27,"CAPC1608N,,Capacitor",,
C26,"CAPC1608N,,Capacitor",,
C25,"CAPC1608N,,Capacitor",,
C24,"CAPC1608N,,Capacitor",,
C23,"CAPC1608N,,Capacitor",,
C22,"CAPC1608N,,Capacitor",,
C21,"CAPC1608N,,Capacitor",,
C20,"CAPC1608N,,Capacitor",,
C19,"CAPC1608N,,Capacitor",,
C18,"CAPC1608N,,Capacitor",,
C17,"CAPC1608N,,Capacitor",,
C16,"CAPC1608N,,Capacitor",,
C15,"CAPC1608N,,Capacitor",,
C14,"CAPC1608N,,Capacitor",,
C13,"CAPC1608N,,Capacitor",,
C12,"CAPC1608N,,Capacitor",,
C11,"CAPC1608N,,Capacitor",,
C10,"CAPC1608N,,Capacitor",,
C9,"CAPC1608N,,Capacitor",,
C8,"CAPC1608N,,Capacitor",,
C7,"CAPC1608N,,Capacitor",,
C6,"CAPC1608N,,Capacitor",,
C5,"CAPC1608N,,Capacitor",,
C4,"CAPC1608N,,Capacitor",,
C3,"CAPC1608N,,Capacitor",,
C2,"CAPC1608N,,Capacitor",,
C1,"CAPC1608N,,Capacitor",,
VDD,"TP,,Test Point",,
