CAD Net,X (in),Y (in),Padstack,Diameter (in),Start Layer,End Layer,
GND,32.18504,17.913386,Pad_42,0.027559,"Top Layer","Bottom Layer"
GND,32.18504,17.519686,Pad_42,0.027559,"Top Layer","Bottom Layer"
GND,32.18504,17.125985,Pad_42,0.027559,"Top Layer","Bottom Layer"
GND,32.18504,15.944882,Pad_42,0.027559,"Top Layer","Bottom Layer"
GND,32.086615,15.748032,Pad_42,0.027559,"Top Layer","Bottom Layer"
GND,32.18504,15.551182,Pad_42,0.027559,"Top Layer","Bottom Layer"
GND,31.889765,18.110237,Pad_42,0.027559,"Top Layer","Bottom Layer"
GND,31.98819,17.913386,Pad_42,0.027559,"Top Layer","Bottom Layer"
GND,31.98819,17.519686,Pad_42,0.027559,"Top Layer","Bottom Layer"
GND,31.889765,17.322835,Pad_42,0.027559,"Top Layer","Bottom Layer"
GND,31.98819,16.732284,Pad_42,0.027559,"Top Layer","Bottom Layer"
GND,31.889765,15.748032,Pad_42,0.027559,"Top Layer","Bottom Layer"
GND,31.692914,15.748032,Pad_42,0.027559,"Top Layer","Bottom Layer"
GND,31.692914,15.354331,Pad_42,0.027559,"Top Layer","Bottom Layer"
GND,31.692914,14.96063,Pad_42,0.027559,"Top Layer","Bottom Layer"
GND,31.594489,16.732284,Pad_42,0.027559,"Top Layer","Bottom Layer"
GND,31.496064,15.748032,Pad_42,0.027559,"Top Layer","Bottom Layer"
GND,31.496064,14.96063,Pad_42,0.027559,"Top Layer","Bottom Layer"
GND,31.299214,17.716536,Pad_42,0.027559,"Top Layer","Bottom Layer"
GND,31.299214,15.354331,Pad_42,0.027559,"Top Layer","Bottom Layer"
GND,31.299214,14.96063,Pad_42,0.027559,"Top Layer","Bottom Layer"
GND,31.102363,18.110237,Pad_42,0.027559,"Top Layer","Bottom Layer"
GND,31.200788,17.913386,Pad_42,0.027559,"Top Layer","Bottom Layer"
GND,31.102363,17.716536,Pad_42,0.027559,"Top Layer","Bottom Layer"
GND,31.200788,17.125985,Pad_42,0.027559,"Top Layer","Bottom Layer"
GND,31.102363,16.535434,Pad_42,0.027559,"Top Layer","Bottom Layer"
GND,31.200788,15.944882,Pad_42,0.027559,"Top Layer","Bottom Layer"
GND,31.200788,15.157481,Pad_42,0.027559,"Top Layer","Bottom Layer"
GND,31.102363,14.96063,Pad_42,0.027559,"Top Layer","Bottom Layer"
GND,30.905513,18.110237,Pad_42,0.027559,"Top Layer","Bottom Layer"
GND,31.003938,17.913386,Pad_42,0.027559,"Top Layer","Bottom Layer"
